evaluation_id,category,score,model_version,date
eval_0247,instruction_following,83.0,model-v1,2025-03-23
eval_1140,tool_calling,91.0,model-v3,2025-03-27
eval_0385,tool_calling,21.0,model-v1,2025-05-03
eval_0855,reasoning,92.8,model-v3,2025-01-23
eval_0220,code,49.4,model-v1,2025-04-01
eval_0642,instruction_following,55.6,model-v2,2025-04-03
eval_0002,reasoning,49.5,model-v1,2025-05-03
eval_0113,knowledge,53.3,model-v1,2025-05-27
eval_0699,instruction_following,79.0,model-v2,2025-04-16
eval_0952,knowledge,86.4,model-v3,2025-04-27
eval_1079,instruction_following,80.1,model-v3,2025-03-05
eval_0442,reasoning,49.7,model-v2,2025-05-25
eval_0664,instruction_following,79.3,model-v2,2025-03-09
eval_1197,tool_calling,69.9,model-v3,2025-01-19
eval_0318,instruction_following,57.5,model-v1,2025-02-17
eval_0649,instruction_following,73.3,model-v2,2025-04-19
eval_0710,instruction_following,70.8,model-v2,2025-03-03
eval_0973,code,44.5,model-v3,2025-01-03
eval_0628,code,63.9,model-v2,2025-01-18
eval_0633,code,48.0,model-v2,2025-05-19
eval_1172,tool_calling,76.6,model-v3,2025-04-23
eval_1107,instruction_following,83.2,model-v3,2025-03-10
eval_0796,tool_calling,30.5,model-v2,2025-01-10
eval_0646,instruction_following,82.6,model-v2,2025-04-05
eval_1013,code,61.0,model-v3,2025-03-10
eval_0557,knowledge,77.2,model-v2,2025-04-08
eval_0682,instruction_following,81.6,model-v2,2025-05-18
eval_0578,code,69.7,model-v2,2025-05-09
eval_0525,knowledge,93.4,model-v2,2025-01-06
eval_1060,instruction_following,78.4,model-v3,2025-04-28
eval_0541,knowledge,90.1,model-v2,2025-02-24
eval_0749,tool_calling,53.8,model-v2,2025-04-04
eval_1110,instruction_following,80.3,model-v3,2025-04-19
eval_0485,knowledge,74.9,model-v2,2025-03-09
eval_0096,knowledge,59.8,model-v1,2025-03-29
eval_1021,code,68.1,model-v3,2025-04-18
eval_0564,code,73.1,model-v2,2025-02-09
eval_0743,tool_calling,72.1,model-v2,2025-05-24
eval_0864,reasoning,64.4,model-v3,2025-05-10
eval_0892,knowledge,80.4,model-v3,2025-05-21
eval_1039,code,80.6,model-v3,2025-05-05
eval_0207,code,38.3,model-v1,2025-01-02
eval_0393,tool_calling,59.3,model-v1,2025-01-17
eval_0795,tool_calling,87.1,model-v2,2025-05-08
eval_0871,reasoning,87.7,model-v3,2025-03-29
eval_0398,tool_calling,80.6,model-v1,2025-04-21
eval_0767,tool_calling,46.9,model-v2,2025-03-22
eval_1100,instruction_following,82.8,model-v3,2025-04-13
eval_1029,code,65.2,model-v3,2025-04-11
eval_0643,instruction_following,82.1,model-v2,2025-04-23
eval_0613,code,67.6,model-v2,2025-01-14
eval_0961,code,67.0,model-v3,2025-02-21
eval_0726,tool_calling,47.4,model-v2,2025-01-27
eval_0684,instruction_following,75.1,model-v2,2025-05-20
eval_0099,knowledge,90.0,model-v1,2025-05-11
eval_0805,reasoning,95.3,model-v3,2025-01-28
eval_0407,reasoning,73.7,model-v2,2025-01-27
eval_0503,knowledge,75.5,model-v2,2025-04-04
eval_1072,instruction_following,85.2,model-v3,2025-04-23
eval_1057,instruction_following,86.0,model-v3,2025-04-01
eval_0930,knowledge,97.3,model-v3,2025-01-31
eval_0780,tool_calling,59.2,model-v2,2025-05-05
eval_0201,code,72.9,model-v1,2025-03-20
eval_0135,knowledge,57.2,model-v1,2025-04-24
eval_1052,instruction_following,79.9,model-v3,2025-02-16
eval_0041,reasoning,70.9,model-v1,2025-03-11
eval_1018,code,78.3,model-v3,2025-05-07
eval_0231,code,63.7,model-v1,2025-04-21
eval_0379,tool_calling,22.9,model-v1,2025-03-11
eval_0289,instruction_following,78.7,model-v1,2025-05-27
eval_0419,reasoning,59.6,model-v2,2025-04-06
eval_0392,tool_calling,31.9,model-v1,2025-05-27
eval_0593,code,76.7,model-v2,2025-01-12
eval_1087,instruction_following,75.1,model-v3,2025-03-18
eval_0648,instruction_following,69.7,model-v2,2025-02-18
eval_0521,knowledge,67.0,model-v2,2025-05-20
eval_0065,reasoning,70.5,model-v1,2025-03-24
eval_0015,reasoning,67.6,model-v1,2025-05-16
eval_1065,instruction_following,73.9,model-v3,2025-05-28
eval_0493,knowledge,85.2,model-v2,2025-01-29
eval_0380,tool_calling,58.2,model-v1,2025-05-11
eval_0188,code,70.2,model-v1,2025-03-31
eval_0764,tool_calling,74.8,model-v2,2025-04-18
eval_0217,code,51.4,model-v1,2025-03-20
eval_0792,tool_calling,63.5,model-v2,2025-03-27
eval_1077,instruction_following,83.9,model-v3,2025-04-04
eval_0879,reasoning,79.5,model-v3,2025-02-06
eval_0338,tool_calling,55.3,model-v1,2025-04-06
eval_0720,instruction_following,76.1,model-v2,2025-01-02
eval_0296,instruction_following,53.0,model-v1,2025-03-30
eval_1017,code,83.2,model-v3,2025-04-08
eval_0456,reasoning,52.0,model-v2,2025-02-07
eval_0816,reasoning,75.1,model-v3,2025-05-20
eval_0270,instruction_following,66.9,model-v1,2025-03-18
eval_0996,code,87.6,model-v3,2025-05-15
eval_0202,code,58.9,model-v1,2025-04-04
eval_0162,code,47.1,model-v1,2025-04-21
eval_0730,tool_calling,66.2,model-v2,2025-03-02
eval_0402,reasoning,52.8,model-v2,2025-02-15
eval_0703,instruction_following,85.0,model-v2,2025-04-06
eval_1130,tool_calling,80.9,model-v3,2025-02-16
eval_0566,code,53.3,model-v2,2025-05-08
eval_1022,code,86.7,model-v3,2025-02-04
eval_1026,code,70.2,model-v3,2025-05-09
eval_1105,instruction_following,82.3,model-v3,2025-02-20
eval_0206,code,61.8,model-v1,2025-03-27
eval_0035,reasoning,69.4,model-v1,2025-02-21
eval_0776,tool_calling,63.0,model-v2,2025-03-05
eval_0509,knowledge,82.3,model-v2,2025-04-24
eval_1184,tool_calling,68.1,model-v3,2025-03-17
eval_0092,knowledge,56.2,model-v1,2025-03-18
eval_0898,knowledge,81.8,model-v3,2025-01-24
eval_0565,code,88.3,model-v2,2025-01-27
eval_0777,tool_calling,52.5,model-v2,2025-02-09
eval_0242,instruction_following,76.4,model-v1,2025-01-28
eval_0014,reasoning,75.5,model-v1,2025-01-25
eval_0316,instruction_following,78.3,model-v1,2025-04-09
eval_0601,code,62.7,model-v2,2025-03-10
eval_0388,tool_calling,45.1,model-v1,2025-03-25
eval_0167,code,86.9,model-v1,2025-03-17
eval_0841,reasoning,87.3,model-v3,2025-05-22
eval_0021,reasoning,59.8,model-v1,2025-03-16
eval_0647,instruction_following,82.8,model-v2,2025-01-10
eval_1155,tool_calling,52.4,model-v3,2025-04-04
eval_0832,reasoning,57.5,model-v3,2025-05-09
eval_0563,code,33.3,model-v2,2025-02-28
eval_1171,tool_calling,61.8,model-v3,2025-05-06
eval_0687,instruction_following,93.4,model-v2,2025-05-22
eval_0958,knowledge,79.5,model-v3,2025-02-18
eval_0190,code,60.3,model-v1,2025-04-29
eval_0976,code,69.7,model-v3,2025-02-15
eval_0700,instruction_following,81.7,model-v2,2025-02-06
eval_0511,knowledge,54.8,model-v2,2025-03-22
eval_1083,instruction_following,91.6,model-v3,2025-02-16
eval_0475,reasoning,53.2,model-v2,2025-03-09
eval_0857,reasoning,96.8,model-v3,2025-02-02
eval_0748,tool_calling,65.5,model-v2,2025-01-30
eval_0253,instruction_following,75.8,model-v1,2025-03-09
eval_0022,reasoning,53.8,model-v1,2025-03-09
eval_0460,reasoning,69.1,model-v2,2025-03-10
eval_0277,instruction_following,69.8,model-v1,2025-05-27
eval_0956,knowledge,91.8,model-v3,2025-01-28
eval_0386,tool_calling,34.8,model-v1,2025-03-08
eval_0806,reasoning,90.1,model-v3,2025-04-01
eval_0344,tool_calling,24.1,model-v1,2025-01-29
eval_0770,tool_calling,64.1,model-v2,2025-04-01
eval_0131,knowledge,63.5,model-v1,2025-05-07
eval_0872,reasoning,79.6,model-v3,2025-02-26
eval_1124,tool_calling,75.0,model-v3,2025-05-10
eval_0088,knowledge,58.1,model-v1,2025-04-13
eval_0331,tool_calling,35.5,model-v1,2025-03-20
eval_0467,reasoning,84.3,model-v2,2025-05-09
eval_0122,knowledge,62.7,model-v1,2025-02-13
eval_1045,instruction_following,87.8,model-v3,2025-01-11
eval_1096,instruction_following,84.6,model-v3,2025-02-07
eval_1131,tool_calling,72.0,model-v3,2025-04-24
eval_0861,reasoning,75.9,model-v3,2025-01-12
eval_1127,tool_calling,73.8,model-v3,2025-05-14
